date,sale,stock,price
2020-06-17,34,2251,1.49
2020-06-18,8,2243,1.49
2020-06-19,67,2176,1.29
2020-06-20,41,2135,1.29
2020-06-21,89,2046,1.29
2020-06-22,49,1997,1.29
2020-06-23,62,2031,1.29
2020-06-24,81,2046,1.29
2020-06-25,42,2004,1.29
2020-06-26,63,2037,1.29
2020-06-27,107,1930,1.18
2020-06-28,83,1847,1.19
2020-06-29,102,1745,1.19
2020-06-30,62,1779,1.29
2020-07-01,29,1750,1.29
2020-07-02,63,1687,1.29
2020-07-03,97,1590,1.29
2020-07-04,136,1454,1.29
2020-07-05,335,1119,1.29
2020-07-06,299,820,1.29
2020-07-07,5,814,1.29
2020-07-08,2,812,1.29
2020-07-09,9,803,1.29
2020-07-10,9,794,1.29
2020-07-11,0,794,1.29
2020-07-12,0,794,1.29
2020-07-13,0,794,1.29
2020-07-14,0,794,1.29
2020-07-15,0,794,0
2020-07-16,0,794,0
2020-07-17,0,794,0
2020-07-18,0,794,0
2020-07-19,0,794,1.49
2020-07-20,0,794,1.49
2020-07-21,0,794,1.49
2020-07-22,2,792,1.49
2020-07-23,0,792,1.49
2020-07-24,0,888,1.49
2020-07-25,15,873,1.49
2020-07-26,9,864,1.49
2020-07-27,13,851,1.49
2020-07-28,15,1220,1.22
2020-07-29,26,1207,2.98
2020-07-30,16,1191,1.55
2020-07-31,51,1140,1.55
2020-08-01,47,1093,1.55
2020-08-02,56,1037,1.55
2020-08-03,45,992,1.55
2020-08-04,40,952,1.55
2020-08-05,17,935,1.55
2020-08-06,103,832,1.29
2020-08-07,72,760,1.29
2020-08-08,56,704,1.29
2020-08-09,0,704,1.29
2020-08-10,1,703,1.29
2020-08-11,0,703,1.29
2020-08-12,0,703,1.29
2020-08-13,0,703,1.29
2020-08-14,0,703,1.29
2020-08-15,0,703,1.55
2020-08-16,0,703,1.55
2020-08-17,0,703,1.55
2020-08-18,0,2143,1.55
2020-08-19,0,2143,1.55
2020-08-20,68,2075,1.55
2020-08-21,169,1908,1.19
2020-08-22,213,1695,1.19
2020-08-23,338,1356,1.19
2020-08-24,129,1227,1.19
2020-08-26,13,1271,1.19
2020-08-27,85,1186,1.19
2020-08-28,0,1186,0
2020-08-29,0,1186,1.29
2020-08-30,0,1186,1.29
2020-08-31,0,1186,1.29
2020-09-01,0,1474,1.29
2020-09-02,0,1474,1.29
2020-09-03,0,1474,1.29
2020-09-04,0,1474,1.29
2020-09-05,0,2146,1.29
2020-09-06,0,2146,1.29
2020-09-07,0,2146,1.29
2020-09-08,64,2082,1.29
2020-09-09,154,1928,1.29
2020-09-10,143,1785,1.29
2020-09-11,96,1689,1.29
2020-09-12,140,1549,1.29
2020-09-13,67,1484,1.29
2020-09-14,3,1481,1.29
2020-09-15,71,1410,1.29
2020-09-16,58,1352,1.29
2020-09-17,62,1962,1.29
2020-09-18,62,1996,1.29
2020-09-19,62,2126,1.29
